;Identifier 1;d18O counts;d18O vsmow;d18O stdev. vsmow;d2H counts;d2H vsmow;d2H stdev. vsmow;RUN_ID;NickName
50;EE-51;4;-12.014.587.095.893.200;0.02702943469537221;4;-8.382.067.005.363.670;0.09705858214457504;20191210;2019 12 10 TR Eisgruben Run 04
51;EE-52;4;-12.928.071.606.462.500;0.03569443605067512;4;-9.116.493.605.666.420;0.2828578898048624;20191210;2019 12 10 TR Eisgruben Run 04
52;EE-53;4;-13.049.591.701.329.700;0.04546778714872253;4;-9.246.067.088.366.440;0.28007510407511327;20191210;2019 12 10 TR Eisgruben Run 04
53;EE-54;4;-12.769.125.475.572.500;0.06860084872099177;4;-9.004.610.888.939.970;0.41533445926342766;20191210;2019 12 10 TR Eisgruben Run 04
54;EE-55;4;-13.401.890.086.044.200;0.059752092602478116;4;-9.455.043.640.458.890;0.3346189413138623;20191210;2019 12 10 TR Eisgruben Run 04
55;EE-56;3;-11.788.551.270.680.500;0.01976483991991105;4;-8.299.942.196.875.650;0.7601835794255046;20191210;2019 12 10 TR Eisgruben Run 04
56;EE-57;3;-1.282.547.988.018.680;0.09999837604212387;4;-9.113.087.813.126.610;0.7844849014444956;20191210;2019 12 10 TR Eisgruben Run 04
57;EE-58;4;-1.193.111.253.064.380;0.08577633167804154;4;-8.427.148.737.852.200;0.6454299250342582;20191210;2019 12 10 TR Eisgruben Run 04
58;EE-59;4;-11.551.529.974.487.600;0.05170674550624014;4;-8.070.232.309.490.420;0.29462556668423046;20191210;2019 12 10 TR Eisgruben Run 04
93;EE-6-WH;3;-10.728.485.574.012.700;0.2230723796518101;3;-7.568.318.056.103.580;1.032.021.938.141.950;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
59;EE-60;3;-11.613.072.596.914.100;0.11531382960038326;4;-7.996.755.749.600.240;0.7338433659797078;20191210;2019 12 10 TR Eisgruben Run 04
95;EE-60-WH;3;-11.370.482.079.463.700;0.0818577175700344;4;-7.955.970.406.059.990;0.379246138356626;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
