,Identifier 1,d18O counts,d18O vsmow,d18O stdev. vsmow,d2H counts,d2H vsmow,d2H stdev. vsmow,RUN_ID,NickName
30,EE-31,4,-11.67145737580198,0.018839732163364358,4,-82.15268068472086,0.058527466905830786,20191209,2019 12 09 TR Eisgruben Run 03
31,EE-32,4,-12.609155945409642,0.06488760532778291,4,-88.1913231845152,0.45813692296581654,20191209,2019 12 09 TR Eisgruben Run 03
32,EE-33,4,-12.260129839047263,0.025051125016850685,4,-87.34984824444649,0.08071412865038866,20191209,2019 12 09 TR Eisgruben Run 03
33,EE-34,4,-12.824845631356528,0.024586740032377243,4,-90.38194616079609,0.1320953177566974,20191209,2019 12 09 TR Eisgruben Run 03
34,EE-35,4,-11.822283281384358,0.05187639939116185,4,-83.00836034645074,0.10059662332944132,20191209,2019 12 09 TR Eisgruben Run 03
35,EE-36,4,-13.880623855126714,0.06560656821409962,4,-98.5015456646333,0.29983609711077164,20191209,2019 12 09 TR Eisgruben Run 03
36,EE-37,4,-14.394382195547776,0.03844984233379477,4,-100.72801221587318,0.16380380983012935,20191209,2019 12 09 TR Eisgruben Run 03
37,EE-38,4,-12.365113687683934,0.02436795336375051,4,-88.3205808773198,0.1902948857772005,20191209,2019 12 09 TR Eisgruben Run 03
38,EE-39,4,-13.578469606717192,0.05103169259477829,4,-95.26547427695505,0.22572294892171513,20191209,2019 12 09 TR Eisgruben Run 03
39,EE-40,4,-12.818223573911208,0.026890368279003703,4,-89.87890034251751,0.18408721776790338,20191209,2019 12 09 TR Eisgruben Run 03
40,EE-41,4,-12.894261980553043,0.0216255620032247,4,-91.05861628428053,0.18079644765909747,20191209,2019 12 09 TR Eisgruben Run 03
41,EE-42,4,-12.605431581668457,0.04468725802513928,4,-87.63554538190597,0.4247848405743683,20191209,2019 12 09 TR Eisgruben Run 03
42,EE-43,4,-11.37231255499956,0.029107301258784038,4,-80.13776598857882,0.17422697031875753,20191209,2019 12 09 TR Eisgruben Run 03
43,EE-44,4,-13.774003320449234,0.01659282894649435,4,-98.00971217166725,0.23395660321079886,20191209,2019 12 09 TR Eisgruben Run 03
44,EE-45,4,-13.010860042953327,0.036445413276358155,4,-91.96418930136677,0.29488488237824695,20191209,2019 12 09 TR Eisgruben Run 03
45,EE-46,4,-11.107969915188963,0.01881824697019163,4,-78.76348146064112,0.11034361141968164,20191209,2019 12 09 TR Eisgruben Run 03
46,EE-47,4,-9.953915197905634,0.03183880583052279,4,-69.13598685332151,0.1288909958240784,20191210,2019 12 10 TR Eisgruben Run 04
47,EE-48,4,-11.61146168237425,0.08773872568181891,4,-81.47219268074394,0.5421510529169281,20191210,2019 12 10 TR Eisgruben Run 04
48,EE-49,4,-15.659739274674449,0.051674004891020676,4,-109.16357792602591,0.2699183358607327,20191210,2019 12 10 TR Eisgruben Run 04
49,EE-50,4,-11.346169882602867,0.06264163563617438,4,-78.86627473923761,0.42899213976441053,20191210,2019 12 10 TR Eisgruben Run 04
50,EE-51,4,-12.014587095893253,0.02702943469537221,4,-83.82067005363677,0.09705858214457504,20191210,2019 12 10 TR Eisgruben Run 04
51,EE-52,4,-12.928071606462595,0.03569443605067512,4,-91.16493605666426,0.2828578898048624,20191210,2019 12 10 TR Eisgruben Run 04
52,EE-53,4,-13.049591701329776,0.04546778714872253,4,-92.46067088366449,0.28007510407511327,20191210,2019 12 10 TR Eisgruben Run 04
53,EE-54,4,-12.769125475572592,0.06860084872099177,4,-90.04610888939973,0.41533445926342766,20191210,2019 12 10 TR Eisgruben Run 04
54,EE-55,4,-13.401890086044236,0.059752092602478116,4,-94.55043640458891,0.3346189413138623,20191210,2019 12 10 TR Eisgruben Run 04
55,EE-56,3,-11.788551270680513,0.01976483991991105,4,-82.99942196875654,0.7601835794255046,20191210,2019 12 10 TR Eisgruben Run 04
56,EE-57,3,-12.82547988018687,0.09999837604212387,4,-91.13087813126612,0.7844849014444956,20191210,2019 12 10 TR Eisgruben Run 04
57,EE-58,4,-11.93111253064382,0.08577633167804154,4,-84.27148737852201,0.6454299250342582,20191210,2019 12 10 TR Eisgruben Run 04
58,EE-59,4,-11.551529974487675,0.05170674550624014,4,-80.70232309490424,0.29462556668423046,20191210,2019 12 10 TR Eisgruben Run 04
59,EE-60,3,-11.613072596914144,0.11531382960038326,4,-79.96755749600246,0.7338433659797078,20191210,2019 12 10 TR Eisgruben Run 04
60,EE-62,4,-12.385298868352756,0.0536032659693995,4,-86.82528676496106,0.28698857075783063,20191210,2019 12 10 TR Eisgruben Run 04
61,EE-63,4,-14.355433748890336,0.2651998874189401,3,-101.12797139870803,0.6588157271214229,20191210,2019 12 10 TR Eisgruben Run 04
62,EE-65,3,-12.063375014848516,0.05662341583072515,3,-84.15844274529826,0.31985355157533185,20191210,2019 12 10 TR Eisgruben Run 04
